generation	eq_score	techniques	status	description
76	5.450	the_feel_felt_found+ownership_language+emotional_labeling	discard	add_emotional_labeling
77	5.013	ownership_language	discard	crossover
78	4.825	the_feel_felt_found+ownership_language	discard	tone_change
79	5.325	the_feel_felt_found+mirroring	discard	swap_ownership_language_for_mirroring
80	5.450	the_feel_felt_found+ownership_language	discard	crossover
81	5.037	the_feel_felt_found+ownership_language+proactive_extras	discard	add_proactive_extras
82	5.450	the_feel_felt_found+ownership_language	discard	temp_0.95
83	5.650	ownership_language+personal_touch	discard	swap_the_feel_felt_found_for_personal_touch
84	4.825	the_feel_felt_found+genuine_admission	discard	swap_ownership_language_for_genuine_admission
85	5.138	the_feel_felt_found+ownership_language	discard	tone_change
86	5.350	the_feel_felt_found+ownership_language	discard	tone_change
87	5.550	ownership_language	discard	crossover
88	5.325	the_feel_felt_found+ownership_language	discard	tone_change
89	5.125	ownership_language+mirroring	discard	swap_the_feel_felt_found_for_mirroring
90	5.450	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
91	5.525	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
92	5.550	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
93	5.325	the_feel_felt_found+ownership_language	discard	tone_change
94	5.325	the_feel_felt_found+ownership_language	discard	tone_change
95	5.237	the_feel_felt_found+ownership_language+strategic_agreement	discard	add_strategic_agreement
96	5.325	the_feel_felt_found+ownership_language	discard	crossover
97	5.200	the_feel_felt_found+ownership_language	discard	tone_change
98	5.750	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
99	5.112	the_feel_felt_found+ownership_language	discard	temp_0.65
100	4.912	ownership_language	discard	crossover
101	5.013	ownership_language	discard	remove_the_feel_felt_found
102	5.237	ownership_language	discard	remove_the_feel_felt_found
103	5.112	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
104	5.113	the_feel_felt_found+ownership_language	discard	tone_change
105	4.925	the_feel_felt_found	discard	remove_ownership_language
106	4.825	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
107	5.450	the_feel_felt_found+ownership_language	discard	tone_change
108	5.325	the_feel_felt_found+ownership_language	discard	tone_change
109	4.825	the_feel_felt_found+ownership_language	discard	tone_change
110	5.200	the_feel_felt_found+ownership_language	discard	crossover
111	5.013	the_feel_felt_found+ownership_language	discard	tone_change
112	5.325	the_feel_felt_found+ownership_language	discard	temp_0.90
113	5.238	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
114	5.113	the_feel_felt_found+ownership_language	discard	temp_0.90
115	4.925	ownership_language	discard	remove_the_feel_felt_found
116	5.550	ownership_language	discard	crossover
117	5.325	the_feel_felt_found+ownership_language	discard	tone_change
118	5.550	the_feel_felt_found	discard	crossover
119	4.925	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
120	5.425	the_feel_felt_found+ownership_language	discard	temp_0.65
121	5.450	the_feel_felt_found+ownership_language	discard	tone_change
122	4.912	the_feel_felt_found+ownership_language	discard	tone_change
123	5.325	ownership_language	discard	remove_the_feel_felt_found
124	5.013	the_feel_felt_found+ownership_language	discard	crossover
125	5.325	the_feel_felt_found+ownership_language	discard	temp_0.70
126	5.450	the_feel_felt_found+ownership_language	discard	tone_change
127	5.350	ownership_language+personal_touch	discard	swap_the_feel_felt_found_for_personal_touch
128	5.225	the_feel_felt_found+ownership_language	discard	temp_0.90
129	5.438	the_feel_felt_found+ownership_language	discard	tone_change
130	5.450	the_feel_felt_found+ownership_language	discard	tone_change
131	4.925	the_feel_felt_found+ownership_language	discard	crossover
132	5.325	the_feel_felt_found+ownership_language+emotional_labeling	discard	add_emotional_labeling
133	5.237	the_feel_felt_found+ownership_language	discard	temp_0.95
134	5.550	the_feel_felt_found	discard	crossover
135	5.350	the_feel_felt_found	discard	remove_ownership_language
136	5.138	the_feel_felt_found+ownership_language	discard	tone_change
137	5.025	the_feel_felt_found+ownership_language	discard	crossover
138	5.238	the_feel_felt_found+ownership_language	discard	crossover
139	5.112	the_feel_felt_found+ownership_language	discard	tone_change
140	5.300	the_feel_felt_found+ownership_language	discard	temp_0.65
141	5.237	the_feel_felt_found+ownership_language+genuine_admission	discard	add_genuine_admission
142	5.037	the_feel_felt_found+ownership_language	discard	tone_change
143	5.400	ownership_language+mirroring	discard	swap_the_feel_felt_found_for_mirroring
144	5.038	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
145	5.138	the_feel_felt_found+ownership_language	discard	tone_change
146	4.912	the_feel_felt_found+ownership_language+proactive_extras	discard	add_proactive_extras
147	5.200	the_feel_felt_found+ownership_language	discard	tone_change
148	5.025	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
149	5.450	the_feel_felt_found+strategic_agreement	discard	swap_ownership_language_for_strategic_agreement
150	4.925	the_feel_felt_found	discard	crossover
151	5.225	the_feel_felt_found+ownership_language	discard	tone_change
152	5.550	the_feel_felt_found	discard	remove_ownership_language
153	4.925	the_feel_felt_found+ownership_language	discard	crossover
154	4.700	the_feel_felt_found+ownership_language	discard	temp_0.95
155	5.100	the_feel_felt_found+strategic_agreement	discard	swap_ownership_language_for_strategic_agreement
156	5.013	the_feel_felt_found+ownership_language	discard	temp_0.65
157	5.112	the_feel_felt_found+ownership_language+proactive_extras	discard	add_proactive_extras
158	5.337	the_feel_felt_found+ownership_language+validation_before_solution	discard	add_validation_before_solution
159	5.550	the_feel_felt_found+ownership_language	discard	temp_0.75
160	5.425	the_feel_felt_found+ownership_language	discard	tone_change
161	5.013	the_feel_felt_found+ownership_language	discard	temp_0.85
162	5.238	ownership_language	discard	crossover
163	5.338	the_feel_felt_found+ownership_language	discard	tone_change
164	5.138	ownership_language+mirroring	discard	swap_the_feel_felt_found_for_mirroring
165	5.138	the_feel_felt_found+ownership_language	discard	tone_change
166	5.013	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
167	5.138	ownership_language+validation_before_solution	discard	swap_the_feel_felt_found_for_validation_before_solution
168	5.550	the_feel_felt_found+ownership_language	discard	tone_change
169	4.800	the_feel_felt_found+ownership_language+validation_before_solution	discard	add_validation_before_solution
170	5.138	the_feel_felt_found+ownership_language+concrete_next_steps	discard	add_concrete_next_steps
171	4.925	the_feel_felt_found	discard	remove_ownership_language
172	5.337	the_feel_felt_found+ownership_language+concrete_next_steps	discard	add_concrete_next_steps
173	5.138	the_feel_felt_found+ownership_language	discard	tone_change
174	5.013	ownership_language+casual_professionalism	discard	swap_the_feel_felt_found_for_casual_professionalism
175	5.525	the_feel_felt_found+ownership_language+genuine_admission	discard	add_genuine_admission
176	5.013	ownership_language	discard	crossover
177	5.225	ownership_language	discard	remove_the_feel_felt_found
178	5.237	the_feel_felt_found+mirroring	discard	swap_ownership_language_for_mirroring
179	5.550	the_feel_felt_found	discard	crossover
180	5.425	ownership_language+genuine_admission	discard	swap_the_feel_felt_found_for_genuine_admission
181	4.925	the_feel_felt_found+ownership_language	discard	crossover
182	5.225	ownership_language+energy_matching	discard	swap_the_feel_felt_found_for_energy_matching
183	5.237	ownership_language	discard	crossover
184	5.450	the_feel_felt_found+ownership_language	discard	temp_0.90
185	5.237	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
186	4.925	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
187	5.225	the_feel_felt_found+ownership_language	discard	tone_change
188	5.237	ownership_language	discard	remove_the_feel_felt_found
189	5.025	the_feel_felt_found	discard	crossover
190	5.325	ownership_language+strategic_agreement	discard	swap_the_feel_felt_found_for_strategic_agreement
191	5.450	the_feel_felt_found+ownership_language	discard	crossover
192	5.237	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
193	4.700	the_feel_felt_found+ownership_language+strategic_agreement	discard	add_strategic_agreement
194	5.138	ownership_language	discard	remove_the_feel_felt_found
195	5.550	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
196	5.550	the_feel_felt_found+ownership_language	discard	crossover
197	5.325	the_feel_felt_found+emotional_labeling	discard	swap_ownership_language_for_emotional_labeling
198	5.438	the_feel_felt_found+ownership_language	discard	temp_0.75
199	5.200	the_feel_felt_found+ownership_language	discard	tone_change
200	5.525	the_feel_felt_found+ownership_language	discard	tone_change
201	5.450	ownership_language+personal_touch	discard	swap_the_feel_felt_found_for_personal_touch
202	5.300	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
203	5.138	the_feel_felt_found+ownership_language	discard	crossover
204	5.325	the_feel_felt_found+strategic_agreement	discard	swap_ownership_language_for_strategic_agreement
205	5.450	the_feel_felt_found+ownership_language	discard	temp_0.90
206	5.325	the_feel_felt_found	discard	crossover
207	5.550	the_feel_felt_found+ownership_language	discard	crossover
208	5.450	the_feel_felt_found+ownership_language	discard	crossover
209	5.450	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
210	5.237	the_feel_felt_found+casual_professionalism	discard	swap_ownership_language_for_casual_professionalism
211	5.125	the_feel_felt_found+casual_professionalism	discard	swap_ownership_language_for_casual_professionalism
212	5.338	the_feel_felt_found+ownership_language	discard	tone_change
213	4.800	the_feel_felt_found+ownership_language	discard	crossover
214	5.325	the_feel_felt_found+ownership_language	discard	crossover
215	5.138	the_feel_felt_found	discard	crossover
216	4.825	the_feel_felt_found	discard	crossover
217	5.550	ownership_language+never_say_calm_down	discard	swap_the_feel_felt_found_for_never_say_calm_down
218	5.138	the_feel_felt_found+ownership_language	discard	tone_change
219	5.113	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
220	5.312	the_feel_felt_found+ownership_language+validation_before_solution	discard	add_validation_before_solution
221	5.300	ownership_language	discard	remove_the_feel_felt_found
222	5.325	the_feel_felt_found+personal_touch	discard	swap_ownership_language_for_personal_touch
223	4.700	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
224	5.013	the_feel_felt_found+ownership_language	discard	temp_0.90
225	5.525	the_feel_felt_found+ownership_language	discard	crossover
226	5.450	the_feel_felt_found+ownership_language	discard	tone_change
227	5.338	the_feel_felt_found+ownership_language	discard	temp_0.65
228	4.912	the_feel_felt_found+ownership_language	discard	tone_change
229	5.125	the_feel_felt_found	discard	crossover
230	5.012	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
231	5.450	the_feel_felt_found+ownership_language	discard	crossover
232	5.450	the_feel_felt_found+strategic_agreement	discard	swap_ownership_language_for_strategic_agreement
233	5.138	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
234	5.325	the_feel_felt_found+ownership_language+genuine_admission	discard	add_genuine_admission
235	5.450	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
236	5.338	ownership_language+strategic_agreement	discard	swap_the_feel_felt_found_for_strategic_agreement
237	5.550	the_feel_felt_found+ownership_language	discard	temp_0.90
238	5.013	ownership_language	discard	crossover
239	5.112	the_feel_felt_found+ownership_language	discard	temp_0.70
240	5.438	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
241	5.338	the_feel_felt_found+ownership_language+proactive_extras	discard	add_proactive_extras
242	5.425	the_feel_felt_found+ownership_language	discard	tone_change
243	4.700	the_feel_felt_found+ownership_language	discard	temp_0.95
244	5.237	the_feel_felt_found+ownership_language+strategic_agreement	discard	add_strategic_agreement
245	5.325	the_feel_felt_found+ownership_language+proactive_extras	discard	add_proactive_extras
246	5.100	the_feel_felt_found+ownership_language	discard	tone_change
247	5.425	ownership_language	discard	crossover
248	5.112	the_feel_felt_found+ownership_language	discard	temp_0.75
249	4.912	the_feel_felt_found+ownership_language	discard	tone_change
250	4.888	the_feel_felt_found+ownership_language	discard	tone_change
251	5.013	the_feel_felt_found+ownership_language	discard	tone_change
252	4.825	the_feel_felt_found+ownership_language	discard	temp_0.65
253	5.325	the_feel_felt_found+ownership_language	discard	crossover
254	5.225	the_feel_felt_found+ownership_language	discard	crossover
255	5.037	the_feel_felt_found+ownership_language	discard	tone_change
256	5.100	ownership_language	discard	remove_the_feel_felt_found
257	5.550	the_feel_felt_found+casual_professionalism	discard	swap_ownership_language_for_casual_professionalism
258	5.450	the_feel_felt_found+ownership_language	discard	tone_change
259	5.237	ownership_language+genuine_admission	discard	swap_the_feel_felt_found_for_genuine_admission
260	5.237	the_feel_felt_found+emotional_labeling	discard	swap_ownership_language_for_emotional_labeling
261	5.550	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
262	4.925	the_feel_felt_found+ownership_language	discard	temp_0.90
263	5.650	the_feel_felt_found+ownership_language	discard	tone_change
264	5.325	ownership_language	discard	crossover
265	5.237	the_feel_felt_found+mirroring	discard	swap_ownership_language_for_mirroring
266	4.825	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
267	5.425	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
268	5.013	the_feel_felt_found+ownership_language	discard	crossover
269	5.325	the_feel_felt_found+ownership_language	discard	crossover
270	5.325	ownership_language	discard	crossover
271	5.237	the_feel_felt_found+warmth_injection	discard	swap_ownership_language_for_warmth_injection
272	4.925	ownership_language+concrete_next_steps	discard	swap_the_feel_felt_found_for_concrete_next_steps
273	5.325	the_feel_felt_found+ownership_language	discard	tone_change
274	5.425	ownership_language	discard	remove_the_feel_felt_found
275	5.525	the_feel_felt_found+ownership_language	discard	tone_change
276	5.425	the_feel_felt_found+ownership_language	discard	temp_0.65
277	5.450	ownership_language	discard	remove_the_feel_felt_found
278	5.112	ownership_language+concrete_next_steps	discard	swap_the_feel_felt_found_for_concrete_next_steps
279	5.438	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
280	5.338	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
281	5.350	the_feel_felt_found+proactive_extras	discard	swap_ownership_language_for_proactive_extras
282	5.238	the_feel_felt_found	discard	crossover
283	5.025	the_feel_felt_found+ownership_language	discard	tone_change
284	5.425	the_feel_felt_found+ownership_language	discard	crossover
285	5.112	ownership_language+emotional_labeling	discard	swap_the_feel_felt_found_for_emotional_labeling
286	5.350	the_feel_felt_found+ownership_language	discard	tone_change
287	5.325	the_feel_felt_found+warmth_injection	discard	swap_ownership_language_for_warmth_injection
288	5.200	the_feel_felt_found	discard	crossover
289	5.350	the_feel_felt_found+ownership_language+strategic_agreement	discard	add_strategic_agreement
290	5.237	the_feel_felt_found	discard	crossover
291	5.225	the_feel_felt_found+ownership_language	discard	crossover
292	5.338	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
293	5.325	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
294	5.200	ownership_language	discard	remove_the_feel_felt_found
295	5.450	the_feel_felt_found+ownership_language	discard	temp_0.90
296	5.450	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
297	5.013	the_feel_felt_found+ownership_language	discard	tone_change
298	5.425	the_feel_felt_found	discard	crossover
299	5.550	the_feel_felt_found+ownership_language	discard	tone_change
300	5.425	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
301	5.650	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
302	5.450	the_feel_felt_found+personal_touch	discard	swap_ownership_language_for_personal_touch
303	4.913	the_feel_felt_found+ownership_language	discard	temp_0.70
304	5.137	the_feel_felt_found+ownership_language	discard	tone_change
305	5.012	the_feel_felt_found+ownership_language	discard	temp_0.75
306	5.325	ownership_language+emotional_labeling	discard	swap_the_feel_felt_found_for_emotional_labeling
307	5.138	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
308	5.450	the_feel_felt_found+ownership_language	discard	tone_change
309	5.325	the_feel_felt_found+ownership_language+genuine_admission	discard	add_genuine_admission
310	5.325	ownership_language	discard	crossover
311	5.237	the_feel_felt_found+ownership_language	discard	temp_0.70
312	4.888	the_feel_felt_found	discard	crossover
313	5.013	the_feel_felt_found+ownership_language	discard	crossover
314	4.825	the_feel_felt_found+ownership_language	discard	tone_change
315	5.013	the_feel_felt_found+ownership_language	discard	tone_change
316	4.763	the_feel_felt_found	discard	remove_ownership_language
317	4.725	the_feel_felt_found+ownership_language+emotional_labeling	discard	add_emotional_labeling
318	5.138	the_feel_felt_found+ownership_language+genuine_admission	discard	add_genuine_admission
319	5.550	the_feel_felt_found+ownership_language	discard	tone_change
320	5.450	the_feel_felt_found+ownership_language	discard	temp_0.90
321	5.550	the_feel_felt_found+ownership_language	discard	tone_change
322	5.338	ownership_language+concrete_next_steps	discard	swap_the_feel_felt_found_for_concrete_next_steps
323	5.138	the_feel_felt_found+ownership_language+energy_matching	discard	add_energy_matching
324	5.225	the_feel_felt_found	discard	crossover
325	4.825	the_feel_felt_found+ownership_language	discard	tone_change
326	5.550	the_feel_felt_found+ownership_language	discard	temp_0.85
327	5.325	the_feel_felt_found+ownership_language	discard	temp_0.70
328	4.888	ownership_language	discard	remove_the_feel_felt_found
329	5.425	the_feel_felt_found+ownership_language+validation_before_solution	discard	add_validation_before_solution
330	5.075	the_feel_felt_found+ownership_language	discard	tone_change
331	5.450	the_feel_felt_found+ownership_language	discard	crossover
332	5.650	the_feel_felt_found+never_say_calm_down	discard	swap_ownership_language_for_never_say_calm_down
333	4.900	the_feel_felt_found+ownership_language	discard	tone_change
334	5.038	the_feel_felt_found+ownership_language	discard	tone_change
335	5.650	none	discard	crossover
336	5.450	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
337	5.037	the_feel_felt_found+ownership_language	discard	temp_0.90
338	5.650	the_feel_felt_found+ownership_language+strategic_agreement	discard	add_strategic_agreement
339	5.237	the_feel_felt_found+ownership_language+energy_matching	discard	add_energy_matching
340	5.337	the_feel_felt_found+ownership_language	discard	crossover
341	5.138	the_feel_felt_found+mirroring	discard	swap_ownership_language_for_mirroring
342	5.138	the_feel_felt_found+ownership_language	discard	tone_change
343	5.013	the_feel_felt_found+ownership_language	discard	tone_change
344	5.138	the_feel_felt_found+ownership_language+emotional_labeling	discard	add_emotional_labeling
345	4.825	the_feel_felt_found+ownership_language	discard	crossover
346	5.337	the_feel_felt_found+ownership_language+validation_before_solution	discard	add_validation_before_solution
347	5.325	ownership_language	discard	crossover
348	5.200	the_feel_felt_found+ownership_language+energy_matching	discard	add_energy_matching
349	5.200	the_feel_felt_found+ownership_language	discard	tone_change
350	5.325	the_feel_felt_found+ownership_language	discard	crossover
351	5.237	the_feel_felt_found+ownership_language	discard	crossover
352	4.925	ownership_language	discard	remove_the_feel_felt_found
353	5.213	the_feel_felt_found+ownership_language	discard	tone_change
354	5.112	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
355	5.300	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
356	5.337	the_feel_felt_found+ownership_language	discard	tone_change
357	5.525	the_feel_felt_found	discard	remove_ownership_language
358	5.138	the_feel_felt_found+ownership_language	discard	temp_0.75
359	5.550	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
360	5.425	the_feel_felt_found+ownership_language	discard	tone_change
361	5.112	the_feel_felt_found	discard	crossover
362	5.013	the_feel_felt_found+ownership_language	discard	temp_0.75
363	5.138	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
364	5.425	ownership_language	discard	remove_the_feel_felt_found
365	4.925	the_feel_felt_found+ownership_language	discard	temp_0.75
366	5.013	the_feel_felt_found+ownership_language	discard	tone_change
367	4.825	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
368	5.013	the_feel_felt_found+ownership_language	discard	tone_change
369	5.425	the_feel_felt_found+ownership_language	discard	crossover
370	5.437	the_feel_felt_found+ownership_language	discard	temp_0.70
371	5.325	the_feel_felt_found	discard	crossover
372	5.200	the_feel_felt_found	discard	remove_ownership_language
373	5.200	the_feel_felt_found+ownership_language	discard	tone_change
374	5.325	the_feel_felt_found+emotional_labeling	discard	swap_ownership_language_for_emotional_labeling
375	5.325	ownership_language+genuine_admission	discard	swap_the_feel_felt_found_for_genuine_admission
376	5.237	ownership_language	discard	remove_the_feel_felt_found
377	5.238	the_feel_felt_found+ownership_language+energy_matching	discard	add_energy_matching
378	5.013	the_feel_felt_found+ownership_language	discard	crossover
379	5.112	the_feel_felt_found+ownership_language	discard	tone_change
380	5.325	the_feel_felt_found+ownership_language+proactive_extras	discard	add_proactive_extras
381	5.213	the_feel_felt_found+ownership_language	discard	tone_change
382	5.450	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
383	5.325	the_feel_felt_found+ownership_language	discard	temp_0.65
384	4.825	the_feel_felt_found+mirroring	discard	swap_ownership_language_for_mirroring
385	5.238	the_feel_felt_found+ownership_language+energy_matching	discard	add_energy_matching
386	5.013	the_feel_felt_found+ownership_language	discard	crossover
387	5.025	the_feel_felt_found+warmth_injection	discard	swap_ownership_language_for_warmth_injection
388	5.225	ownership_language	discard	crossover
389	5.013	the_feel_felt_found+ownership_language	discard	crossover
390	5.450	the_feel_felt_found+ownership_language+energy_matching	discard	add_energy_matching
391	5.550	ownership_language+personal_touch	discard	swap_the_feel_felt_found_for_personal_touch
392	5.013	the_feel_felt_found+ownership_language	discard	temp_0.85
393	4.888	the_feel_felt_found+ownership_language	discard	tone_change
394	5.238	the_feel_felt_found+ownership_language	discard	tone_change
395	5.237	the_feel_felt_found+ownership_language	discard	crossover
396	5.525	the_feel_felt_found+ownership_language	discard	tone_change
397	5.237	the_feel_felt_found	discard	crossover
398	5.450	the_feel_felt_found+ownership_language	discard	tone_change
399	4.987	the_feel_felt_found+ownership_language	discard	tone_change
400	5.237	ownership_language	discard	remove_the_feel_felt_found
401	5.037	the_feel_felt_found+ownership_language	discard	tone_change
402	5.200	the_feel_felt_found+ownership_language+genuine_admission	discard	add_genuine_admission
403	5.450	the_feel_felt_found	discard	crossover
404	5.650	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
405	5.138	the_feel_felt_found+mirroring	discard	swap_ownership_language_for_mirroring
406	5.550	the_feel_felt_found+genuine_admission	discard	swap_ownership_language_for_genuine_admission
407	5.238	ownership_language+strategic_agreement	discard	swap_the_feel_felt_found_for_strategic_agreement
408	5.425	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
409	5.013	the_feel_felt_found+ownership_language+proactive_extras	discard	add_proactive_extras
410	5.138	the_feel_felt_found+ownership_language	discard	temp_0.90
411	5.337	the_feel_felt_found+ownership_language	discard	tone_change
412	5.450	the_feel_felt_found+ownership_language+genuine_admission	discard	add_genuine_admission
413	5.425	the_feel_felt_found+ownership_language	discard	temp_0.90
414	4.925	the_feel_felt_found+ownership_language	discard	crossover
415	5.350	the_feel_felt_found+ownership_language	discard	temp_0.90
416	5.550	the_feel_felt_found+ownership_language+never_say_calm_down	discard	add_never_say_calm_down
417	5.112	the_feel_felt_found+ownership_language	discard	tone_change
418	5.138	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
419	5.325	the_feel_felt_found+ownership_language	discard	temp_0.95
